Project,Tester,KPI,USL,LSL
Loma,LuphoScan#1,LuphoScan 1-L1 Temperature(℃),,
Loma,LuphoScan#1,LuphoScan 1-L1 S1-PV <5μm,5,0
Loma,LuphoScan#1,LuphoScan 1-L1 S1-Slope error-1 <1,1,0
Loma,LuphoScan#1,LuphoScan 1-L1 S1-Slope error-2 <2,2,0
Loma,LuphoScan#1,LuphoScan 1-L1 S1-DIV-1 <0.06,0.06,0
Loma,LuphoScan#1,LuphoScan 1-L1 S1-DIV-2 <0.085,0.085,0
Loma,LuphoScan#1,LuphoScan 1-L1 S1-LF-10 <0.15,0.15,0
Loma,LuphoScan#1,LuphoScan 1-L1 S1-LF-CA <0.3,0.3,0
Loma,LuphoScan#1,LuphoScan 1-L1 S1-HF-10 <0.15,0.15,0
Loma,LuphoScan#1,LuphoScan 1-L1 S1-HF-CA <0.3,0.3,0
Loma,LuphoScan#1,LuphoScan 1-L1 Temperature(℃)_1,,
Loma,LuphoScan#1,LuphoScan 1-L1 S2-PV <8μm,8,0
Loma,LuphoScan#1,LuphoScan 1-L1 S2-Slope error-1 <1.5,1.5,0
Loma,LuphoScan#1,LuphoScan 1-L1 S2-Slope error-2 <3,3,0
Loma,LuphoScan#1,LuphoScan 1-L1 S2-DIV -1 <0.26,0.26,0
Loma,LuphoScan#1,LuphoScan 1-L1 S2-DIV -2 <0.37,0.37,0
Loma,LuphoScan#1,LuphoScan 1-L1 S2-LF-10 <0.15,0.15,0
Loma,LuphoScan#1,LuphoScan 1-L1 S2-LF-20 <0.3,0.3,0
Loma,LuphoScan#1,LuphoScan 1-L1 S2-HF-10 <0.15,0.1,0
Loma,LuphoScan#1,LuphoScan 1-L1 S2-HF-CA <0.3,0.3,0
Loma,LuphoScan#1,LuphoScan 1-L2 Temperature(℃),,
Loma,LuphoScan#1,LuphoScan 1-L2 S1-PV <8μm,8,0
Loma,LuphoScan#1,LuphoScan 1-L2 S1-Slope error-1 <1.5,1.5,0
Loma,LuphoScan#1,LuphoScan 1-L2 S1-Slope error-2 <3,3,0
Loma,LuphoScan#1,LuphoScan 1-L2 S1-LF-10 <0.3,0.3,0
Loma,LuphoScan#1,LuphoScan 1-L2 S1-LF-CA <0.5,0.5,0
Loma,LuphoScan#1,LuphoScan 1-L2 S1-HF-10 <0.3,0.3,0
Loma,LuphoScan#1,LuphoScan 1-L2 S1-HF-CA <0.5,0.5,0
Loma,LuphoScan#1,LuphoScan 1-L2 Temperature(℃)_1,,
Loma,LuphoScan#1,LuphoScan 1-L2 S2-PV <7μm,7,0
Loma,LuphoScan#1,LuphoScan 1-L2 S2-Slope error-1 <2,2,0
Loma,LuphoScan#1,LuphoScan 1-L2 S2-Slope error-2 <4,4,0
Loma,LuphoScan#1,LuphoScan 1-L2 S2-DIV -1 <0.41,0.41,0
Loma,LuphoScan#1,LuphoScan 1-L2 S2-DIV -2 <0.58,0.58,0
Loma,LuphoScan#1,LuphoScan 1-L2 S2-LF-10 0.3,0.3,0
Loma,LuphoScan#1,LuphoScan 1-L2 S2-LF-20 <0.4,0.4,0
Loma,LuphoScan#1,LuphoScan 1-L2 S2-HF-10 <0.3,0.3,0
Loma,LuphoScan#1,LuphoScan 1-L2 S2-HF-ca <0.4,0.4,0
Loma,LuphoScan#2,LuphoScan 2-L1 Temperature(℃),,
Loma,LuphoScan#2,LuphoScan 2-L1 S1-PV <4μm,4,0
